   18.81   72.17   24.98     223.75   3.43   0.4703   0.1368 1 0 .998E+00
   18.86   80.14   23.81     157.05   5.32   0.7428   0.1388 1 0 .142E-11
   19.10   82.45   23.75     134.00   1.28   0.7395   0.0752 1 1 .444E-34
   15.35   86.56   18.53      71.14   1.44   0.8634   0.0561 1 0 .000E+00
   15.84   81.43   19.82     221.81   1.85   0.4330   0.1419 0 1 .999E+00
   15.86   79.50   20.12     103.29   1.92   0.8584   0.0475 1 1 .000E+00
   14.69  108.57   15.34     106.77   1.11   0.7368   0.0796 1 0 .000E+00
   15.48  101.82   16.80      53.02   2.62   0.7869   0.1121 1 0 .000E+00
   15.45   95.94   17.45     218.01   2.63   0.3588   0.1299 1 0 .100E+01
   13.80   84.88   16.86     223.01   4.28   0.3829   0.1365 1 0 .100E+01
    6.35   69.71    8.54     226.46   4.09   0.2894   0.1624 1 0 .100E+01
    6.06   67.37    8.26     221.71   1.91   0.4749   0.0918 1 0 .100E+01
    7.42   71.96    9.87     229.61   2.85   0.3127   0.1241 1 0 .100E+01
   13.91   51.77   20.24     214.26   3.44   0.2313   0.1277 1 0 .100E+01
   12.09   62.61   16.88     225.99   3.18   0.1819   0.1397 1 0 .100E+01
    9.54   91.92   11.09     218.47   3.00   0.4289   0.0811 2 0 .100E+01
    8.42  103.24    9.06     229.77   4.40   0.0106   0.0214 0 0 .997E+00
    8.21   84.62   10.05     225.43   1.77   0.4706   0.0839 1 0 .100E+01
   14.57   62.66   20.34     232.68   1.12   0.4481   0.0844 1 0 .100E+01
   13.23   73.58   17.42     225.02   2.45   0.3574   0.1212 1 0 .100E+01
   12.91   75.74   16.77     225.22   2.45   0.1407   0.0341 0 0 .995E+00
   16.70   74.47   21.87     155.34   2.24   0.5804   0.0956 1 0 .267E-16
    7.97  306.06    7.97     221.27   4.84   0.3232   0.1339 1 0 .100E+01
    7.85  300.71    7.87     218.18   2.39   0.6905   0.0579 1 0 .944E+00
    7.64  292.54    7.83     225.21   4.58   0.5238   0.1938 1 0 .999E+00
    7.39  291.43    7.61     213.43   2.01   0.4811   0.0887 1 0 .100E+01
    7.33  288.21    7.66     227.19   0.96   0.5362   0.0569 2 0 .100E+01
    7.34  283.87    7.87     210.33   0.62   0.5625   0.0267 2 0 .997E+00
    7.81  282.65    8.43     224.49   3.23   0.6849   4.1604 1 0 .998E+00
    6.96  303.39    6.96     219.65   1.67   0.4235   0.1162 1 1 .100E+01
    6.45  296.45    6.52     218.13   1.16   0.4836   0.0892 1 0 .100E+01
    5.99  295.54    6.07     221.40   4.15   3.2322   1.4268 1 0 .997E+00
    5.81  289.40    6.04     227.58   2.15   1.0405  76.6077 0 0 .998E+00
    5.31  287.89    5.56     223.89   4.36   1.6175  54.1698 0 0 .999E+00
    6.42  255.83    8.33     228.46   4.08   0.2394   0.0575 1 0 .100E+01
    5.93  260.78    7.45     212.50   4.32   0.0883   0.0804 1 0 .100E+01
    5.57  263.60    6.86     223.63   5.13   0.3868   0.0622 1 0 .100E+01
    5.22  273.40    6.01     227.83   0.75   0.4413   0.0314 2 0 .100E+01
    5.34  279.82    5.87     238.93   0.62   0.5236   0.0138 1 1 .999E+00
    7.30  263.39    9.01     226.25   2.48   0.2537   0.0660 2 0 .100E+01
    6.86  264.22    8.42     222.69   3.18   0.1474   0.0735 1 0 .100E+01
    6.38  276.03    7.20     210.12   1.50   0.3804   0.0342 1 0 .100E+01
    7.39  279.35    8.15     222.07   1.94   0.5106   0.0439 1 0 .100E+01
    6.84  280.62    7.48      72.20   4.15   0.1793   0.0218 0 0 .000E+00
    6.82  285.65    7.24     229.19   3.85   0.4615   0.0810 1 0 .100E+01
    5.36  336.83    6.25      76.83   0.65   0.8241   0.0283 1 0 .000E+00
    2.84  317.43    2.93     228.57   3.74   0.1713   0.0675 1 0 .100E+01
    3.24  293.87    3.30     224.92   3.88   0.4411   0.0575 1 0 .100E+01
    2.55  297.57    2.57     219.46   2.63   0.3138   0.0654 1 0 .100E+01
    8.26  351.09   10.62     216.14   5.24   0.4284   0.0717 1 0 .100E+01
    6.91  350.25    8.84     228.99   2.60   0.3900   0.0618 1 0 .100E+01
    5.58  348.63    7.06     220.07   4.44   0.2438   0.0702 1 0 .100E+01
    5.16  345.08    6.38     215.37   3.73   0.3155   0.0588 1 0 .100E+01
    2.25  326.24    2.44     219.20   3.92   0.4432   0.0541 1 0 .100E+01
    6.16  220.13    9.17     217.85   0.95   0.5351   0.0347 1 0 .100E+01
    5.36  234.65    7.72     229.01   3.79   0.3538   0.0709 1 0 .100E+01
    4.55  244.17    6.30     218.49   3.21   0.3280   0.0684 1 0 .100E+01
    2.94  267.47    3.53     221.12   1.02   0.4566   0.0288 2 0 .100E+01
    6.64  225.43    9.81     227.11   1.23   0.3732   0.0392 2 0 .100E+01
    6.16  226.38    9.08     210.47   2.75   0.3509   0.0613 2 0 .100E+01
    5.57  243.80    7.74     210.89   1.49   0.3829   0.0340 1 0 .100E+01
    5.16  248.51    6.99     220.79   0.86   0.4981   0.0296 1 0 .100E+01
    3.60  276.38    4.06     222.46   3.15   0.3928   0.0515 1 0 .100E+01
    7.13   11.48   10.20     222.38   1.00   0.4214   0.0243 1 0 .100E+01
    6.14   12.52    8.81     212.83   5.27   0.0701   0.0668 0 0 .996E+00
    3.04   12.34    4.36     209.27   2.95   0.2968   0.1056 1 0 .100E+01
    1.61  357.16    2.15     217.47   0.51   0.5354   0.0169 1 0 .100E+01
    1.59  345.00    1.96     225.02   3.82   0.1884   0.1379 1 0 .100E+01
    6.93   16.00   10.06      62.26   1.57   0.8157   0.0646 1 0 .000E+00
    6.52   20.66    9.58     230.16   4.09   0.6303   0.1270 1 0 .996E+00
    3.71   51.34    5.41     225.72   3.93   0.2626   0.1490 1 0 .100E+01
    6.18  170.69    7.93     222.24   3.35   0.4749   0.1614 1 0 .100E+01
    1.49  172.68    1.94     224.68   3.00   0.4847   0.0797 1 0 .100E+01
